row_index_0based,col_index_0based,row_vertex,col_vertex,value
0,0,0,0,5
0,1,0,1,1
0,2,0,2,1
0,4,0,4,1
0,6,0,6,1
0,18,0,18,1
1,0,1,0,1
1,1,1,1,3
1,3,1,3,1
1,15,1,15,1
2,0,2,0,1
2,2,2,2,3
2,3,2,3,1
2,16,2,16,1
3,1,3,1,1
3,2,3,2,1
3,3,3,3,5
3,9,3,9,1
3,12,3,12,1
3,25,3,25,1
4,0,4,0,1
4,4,4,4,3
4,5,4,5,1
4,17,4,17,1
5,4,5,4,1
5,5,5,5,5
5,32,5,32,1
5,39,5,39,1
5,46,5,46,1
5,47,5,47,1
6,0,6,0,1
6,6,6,6,3
6,7,6,7,1
6,8,6,8,1
7,6,7,6,1
7,7,7,7,5
7,48,7,48,1
7,55,7,55,1
7,62,7,62,1
7,63,7,63,1
8,6,8,6,1
8,8,8,8,5
8,64,8,64,1
8,71,8,71,1
8,78,8,78,1
8,79,8,79,1
9,3,9,3,1
9,9,9,9,3
9,10,9,10,1
9,11,9,11,1
10,9,10,9,1
10,10,10,10,5
10,80,10,80,1
10,87,10,87,1
10,94,10,94,1
10,95,10,95,1
11,9,11,9,1
11,11,11,11,5
11,96,11,96,1
11,103,11,103,1
11,110,11,110,1
11,111,11,111,1
12,3,12,3,1
12,12,12,12,3
12,13,12,13,1
12,14,12,14,1
13,12,13,12,1
13,13,13,13,5
13,112,13,112,1
13,119,13,119,1
13,126,13,126,1
13,127,13,127,1
14,12,14,12,1
14,14,14,14,5
14,128,14,128,1
14,135,14,135,1
14,142,14,142,1
14,143,14,143,1
15,1,15,1,1
15,15,15,15,5
15,144,15,144,1
15,151,15,151,1
15,158,15,158,1
15,159,15,159,1
16,2,16,2,1
16,16,16,16,5
16,160,16,160,1
16,167,16,167,1
16,174,16,174,1
16,175,16,175,1
17,4,17,4,1
17,17,17,17,5
17,176,17,176,1
17,183,17,183,1
17,190,17,190,1
17,191,17,191,1
18,0,18,0,1
18,18,18,18,7
18,19,18,19,1
18,20,18,20,1
18,21,18,21,1
18,22,18,22,1
18,23,18,23,1
18,24,18,24,1
19,18,19,18,1
19,19,19,19,1
20,18,20,18,1
20,20,20,20,1
21,18,21,18,1
21,21,21,21,1
22,18,22,18,1
22,22,22,22,1
23,18,23,18,1
23,23,23,23,1
24,18,24,18,1
24,24,24,24,1
25,3,25,3,1
25,25,25,25,7
25,26,25,26,1
25,27,25,27,1
25,28,25,28,1
25,29,25,29,1
25,30,25,30,1
25,31,25,31,1
26,25,26,25,1
26,26,26,26,1
27,25,27,25,1
27,27,27,27,1
28,25,28,25,1
28,28,28,28,1
29,25,29,25,1
29,29,29,29,1
30,25,30,25,1
30,30,30,30,1
31,25,31,25,1
31,31,31,31,1
32,5,32,5,1
32,32,32,32,7
32,33,32,33,1
32,34,32,34,1
32,35,32,35,1
32,36,32,36,1
32,37,32,37,1
32,38,32,38,1
33,32,33,32,1
33,33,33,33,1
34,32,34,32,1
34,34,34,34,1
35,32,35,32,1
35,35,35,35,1
36,32,36,32,1
36,36,36,36,1
37,32,37,32,1
37,37,37,37,1
38,32,38,32,1
38,38,38,38,1
39,5,39,5,1
39,39,39,39,7
39,40,39,40,1
39,41,39,41,1
39,42,39,42,1
39,43,39,43,1
39,44,39,44,1
39,45,39,45,1
40,39,40,39,1
40,40,40,40,1
41,39,41,39,1
41,41,41,41,1
42,39,42,39,1
42,42,42,42,1
43,39,43,39,1
43,43,43,43,1
44,39,44,39,1
44,44,44,44,1
45,39,45,39,1
45,45,45,45,1
46,5,46,5,1
46,46,46,46,1
47,5,47,5,1
47,47,47,47,1
48,7,48,7,1
48,48,48,48,7
48,49,48,49,1
48,50,48,50,1
48,51,48,51,1
48,52,48,52,1
48,53,48,53,1
48,54,48,54,1
49,48,49,48,1
49,49,49,49,1
50,48,50,48,1
50,50,50,50,1
51,48,51,48,1
51,51,51,51,1
52,48,52,48,1
52,52,52,52,1
53,48,53,48,1
53,53,53,53,1
54,48,54,48,1
54,54,54,54,1
55,7,55,7,1
55,55,55,55,7
55,56,55,56,1
55,57,55,57,1
55,58,55,58,1
55,59,55,59,1
55,60,55,60,1
55,61,55,61,1
56,55,56,55,1
56,56,56,56,1
57,55,57,55,1
57,57,57,57,1
58,55,58,55,1
58,58,58,58,1
59,55,59,55,1
59,59,59,59,1
60,55,60,55,1
60,60,60,60,1
61,55,61,55,1
61,61,61,61,1
62,7,62,7,1
62,62,62,62,1
63,7,63,7,1
63,63,63,63,1
64,8,64,8,1
64,64,64,64,7
64,65,64,65,1
64,66,64,66,1
64,67,64,67,1
64,68,64,68,1
64,69,64,69,1
64,70,64,70,1
65,64,65,64,1
65,65,65,65,1
66,64,66,64,1
66,66,66,66,1
67,64,67,64,1
67,67,67,67,1
68,64,68,64,1
68,68,68,68,1
69,64,69,64,1
69,69,69,69,1
70,64,70,64,1
70,70,70,70,1
71,8,71,8,1
71,71,71,71,7
71,72,71,72,1
71,73,71,73,1
71,74,71,74,1
71,75,71,75,1
71,76,71,76,1
71,77,71,77,1
72,71,72,71,1
72,72,72,72,1
73,71,73,71,1
73,73,73,73,1
74,71,74,71,1
74,74,74,74,1
75,71,75,71,1
75,75,75,75,1
76,71,76,71,1
76,76,76,76,1
77,71,77,71,1
77,77,77,77,1
78,8,78,8,1
78,78,78,78,1
79,8,79,8,1
79,79,79,79,1
80,10,80,10,1
80,80,80,80,7
80,81,80,81,1
80,82,80,82,1
80,83,80,83,1
80,84,80,84,1
80,85,80,85,1
80,86,80,86,1
81,80,81,80,1
81,81,81,81,1
82,80,82,80,1
82,82,82,82,1
83,80,83,80,1
83,83,83,83,1
84,80,84,80,1
84,84,84,84,1
85,80,85,80,1
85,85,85,85,1
86,80,86,80,1
86,86,86,86,1
87,10,87,10,1
87,87,87,87,7
87,88,87,88,1
87,89,87,89,1
87,90,87,90,1
87,91,87,91,1
87,92,87,92,1
87,93,87,93,1
88,87,88,87,1
88,88,88,88,1
89,87,89,87,1
89,89,89,89,1
90,87,90,87,1
90,90,90,90,1
91,87,91,87,1
91,91,91,91,1
92,87,92,87,1
92,92,92,92,1
93,87,93,87,1
93,93,93,93,1
94,10,94,10,1
94,94,94,94,1
95,10,95,10,1
95,95,95,95,1
96,11,96,11,1
96,96,96,96,7
96,97,96,97,1
96,98,96,98,1
96,99,96,99,1
96,100,96,100,1
96,101,96,101,1
96,102,96,102,1
97,96,97,96,1
97,97,97,97,1
98,96,98,96,1
98,98,98,98,1
99,96,99,96,1
99,99,99,99,1
100,96,100,96,1
100,100,100,100,1
101,96,101,96,1
101,101,101,101,1
102,96,102,96,1
102,102,102,102,1
103,11,103,11,1
103,103,103,103,7
103,104,103,104,1
103,105,103,105,1
103,106,103,106,1
103,107,103,107,1
103,108,103,108,1
103,109,103,109,1
104,103,104,103,1
104,104,104,104,1
105,103,105,103,1
105,105,105,105,1
106,103,106,103,1
106,106,106,106,1
107,103,107,103,1
107,107,107,107,1
108,103,108,103,1
108,108,108,108,1
109,103,109,103,1
109,109,109,109,1
110,11,110,11,1
110,110,110,110,1
111,11,111,11,1
111,111,111,111,1
112,13,112,13,1
112,112,112,112,7
112,113,112,113,1
112,114,112,114,1
112,115,112,115,1
112,116,112,116,1
112,117,112,117,1
112,118,112,118,1
113,112,113,112,1
113,113,113,113,1
114,112,114,112,1
114,114,114,114,1
115,112,115,112,1
115,115,115,115,1
116,112,116,112,1
116,116,116,116,1
117,112,117,112,1
117,117,117,117,1
118,112,118,112,1
118,118,118,118,1
119,13,119,13,1
119,119,119,119,7
119,120,119,120,1
119,121,119,121,1
119,122,119,122,1
119,123,119,123,1
119,124,119,124,1
119,125,119,125,1
120,119,120,119,1
120,120,120,120,1
121,119,121,119,1
121,121,121,121,1
122,119,122,119,1
122,122,122,122,1
123,119,123,119,1
123,123,123,123,1
124,119,124,119,1
124,124,124,124,1
125,119,125,119,1
125,125,125,125,1
126,13,126,13,1
126,126,126,126,1
127,13,127,13,1
127,127,127,127,1
128,14,128,14,1
128,128,128,128,7
128,129,128,129,1
128,130,128,130,1
128,131,128,131,1
128,132,128,132,1
128,133,128,133,1
128,134,128,134,1
129,128,129,128,1
129,129,129,129,1
130,128,130,128,1
130,130,130,130,1
131,128,131,128,1
131,131,131,131,1
132,128,132,128,1
132,132,132,132,1
133,128,133,128,1
133,133,133,133,1
134,128,134,128,1
134,134,134,134,1
135,14,135,14,1
135,135,135,135,7
135,136,135,136,1
135,137,135,137,1
135,138,135,138,1
135,139,135,139,1
135,140,135,140,1
135,141,135,141,1
136,135,136,135,1
136,136,136,136,1
137,135,137,135,1
137,137,137,137,1
138,135,138,135,1
138,138,138,138,1
139,135,139,135,1
139,139,139,139,1
140,135,140,135,1
140,140,140,140,1
141,135,141,135,1
141,141,141,141,1
142,14,142,14,1
142,142,142,142,1
143,14,143,14,1
143,143,143,143,1
144,15,144,15,1
144,144,144,144,7
144,145,144,145,1
144,146,144,146,1
144,147,144,147,1
144,148,144,148,1
144,149,144,149,1
144,150,144,150,1
145,144,145,144,1
145,145,145,145,1
146,144,146,144,1
146,146,146,146,1
147,144,147,144,1
147,147,147,147,1
148,144,148,144,1
148,148,148,148,1
149,144,149,144,1
149,149,149,149,1
150,144,150,144,1
150,150,150,150,1
151,15,151,15,1
151,151,151,151,7
151,152,151,152,1
151,153,151,153,1
151,154,151,154,1
151,155,151,155,1
151,156,151,156,1
151,157,151,157,1
152,151,152,151,1
152,152,152,152,1
153,151,153,151,1
153,153,153,153,1
154,151,154,151,1
154,154,154,154,1
155,151,155,151,1
155,155,155,155,1
156,151,156,151,1
156,156,156,156,1
157,151,157,151,1
157,157,157,157,1
158,15,158,15,1
158,158,158,158,1
159,15,159,15,1
159,159,159,159,1
160,16,160,16,1
160,160,160,160,7
160,161,160,161,1
160,162,160,162,1
160,163,160,163,1
160,164,160,164,1
160,165,160,165,1
160,166,160,166,1
161,160,161,160,1
161,161,161,161,1
162,160,162,160,1
162,162,162,162,1
163,160,163,160,1
163,163,163,163,1
164,160,164,160,1
164,164,164,164,1
165,160,165,160,1
165,165,165,165,1
166,160,166,160,1
166,166,166,166,1
167,16,167,16,1
167,167,167,167,7
167,168,167,168,1
167,169,167,169,1
167,170,167,170,1
167,171,167,171,1
167,172,167,172,1
167,173,167,173,1
168,167,168,167,1
168,168,168,168,1
169,167,169,167,1
169,169,169,169,1
170,167,170,167,1
170,170,170,170,1
171,167,171,167,1
171,171,171,171,1
172,167,172,167,1
172,172,172,172,1
173,167,173,167,1
173,173,173,173,1
174,16,174,16,1
174,174,174,174,1
175,16,175,16,1
175,175,175,175,1
176,17,176,17,1
176,176,176,176,7
176,177,176,177,1
176,178,176,178,1
176,179,176,179,1
176,180,176,180,1
176,181,176,181,1
176,182,176,182,1
177,176,177,176,1
177,177,177,177,1
178,176,178,176,1
178,178,178,178,1
179,176,179,176,1
179,179,179,179,1
180,176,180,176,1
180,180,180,180,1
181,176,181,176,1
181,181,181,181,1
182,176,182,176,1
182,182,182,182,1
183,17,183,17,1
183,183,183,183,7
183,184,183,184,1
183,185,183,185,1
183,186,183,186,1
183,187,183,187,1
183,188,183,188,1
183,189,183,189,1
184,183,184,183,1
184,184,184,184,1
185,183,185,183,1
185,185,185,185,1
186,183,186,183,1
186,186,186,186,1
187,183,187,183,1
187,187,187,187,1
188,183,188,183,1
188,188,188,188,1
189,183,189,183,1
189,189,189,189,1
190,17,190,17,1
190,190,190,190,1
191,17,191,17,1
191,191,191,191,1
